abs,brand,compression_ratio,coupe_type,cylinder_bore,doors,fuel_consumption_combined,fuel_tank_volume,fuel_type,generation,kerb_weight,minimum_turning_circle,model,modification,number_of_cylinders,number_of_gears,number_of_valves_per_cylinder,piston_stroke,position_of_cylinders,power,seats,torque,wheelbase 
NULL,Maserati,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Biturbo,NULL,NULL,Biturbo,4.24V (245 Hp),NULL,NULL,NULL,NULL,NULL,245 hp,NULL,NULL,NULL
NULL,Maserati,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Biturbo,NULL,NULL,Biturbo,425 (190 Hp),NULL,NULL,NULL,NULL,NULL,190 hp,NULL,NULL,NULL
NULL,Maserati,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Biturbo,NULL,NULL,Biturbo,425 (200 Hp),NULL,NULL,NULL,NULL,NULL,200 hp,NULL,NULL,NULL
NULL,Maserati,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Biturbo,NULL,NULL,Biturbo,425 i (188 Hp),NULL,NULL,NULL,NULL,NULL,188 hp,NULL,NULL,NULL
NULL,Maserati,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Bora,NULL,NULL,Bora,4.7 (310 Hp),NULL,NULL,NULL,NULL,NULL,310 hp,NULL,NULL,NULL
yes,MG,10.5,Cabriolet,80 mm.,2,8.3 l/100 km.,50 l,Petrol (Gasoline),TF,1125 kg.,NULL,TF,1.8 i 16V Stepspeed (120 Hp),4,NULL,4,89.3 mm.,Inline,120 hp/5500 rpm.,2,160 Nm/4000 rpm.,2375 mm.
NULL,Maserati,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Bora,NULL,NULL,Bora,5.0 (320 Hp),NULL,NULL,NULL,NULL,NULL,320 hp,NULL,NULL,NULL
yes,Maserati,11.1,Coupe,92 mm.,3,NULL,88 l,Petrol (Gasoline),4300 GT Coupe,1670 kg.,NULL,4300 GT Coupe,"4,3 (390 Hp)",8,6,NULL,79.8 mm.,V engine,390 hp/7000 rpm.,4,451 Nm/4500 rpm.,2660 mm.
yes,MG,10.5,Cabriolet,80 mm.,2,NULL,50 l,Petrol (Gasoline),MGF,1060 kg.,NULL,MGF,1.8 i 16V (120 Hp),4,5,4,89.3 mm.,Inline,120 hp/5500 rpm.,2,160 Nm/4000 rpm.,2375 mm.
yes,MG,10,Cabriolet,NULL,2,NULL,50 l,Petrol (Gasoline),MGF,1070 kg.,NULL,MGF,1.8 i 16V (145 Hp),4,5,4,NULL,Inline,145 hp/7000 rpm.,2,174 Nm/4500 rpm.,2375 mm.
NULL,MG,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Midget,NULL,NULL,Midget,1.3 (65 Hp),NULL,NULL,NULL,NULL,NULL,65 hp,NULL,NULL,NULL
NULL,MG,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Metro,NULL,NULL,Metro,1300 (73 Hp),NULL,NULL,NULL,NULL,NULL,73 hp,NULL,NULL,NULL
NULL,MG,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Midget,NULL,NULL,Midget,1.1 (56 Hp),NULL,NULL,NULL,NULL,NULL,56 hp,NULL,NULL,NULL
NULL,MG,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Midget,NULL,NULL,Midget,1.5 (66 Hp),NULL,NULL,NULL,NULL,NULL,66 hp,NULL,NULL,NULL
NULL,MG,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Maestro,NULL,NULL,Maestro,1600 (104 Hp),NULL,NULL,NULL,NULL,NULL,104 hp,NULL,NULL,NULL
NULL,MG,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Maestro,NULL,NULL,Maestro,2.0 EFi (117 Hp),NULL,NULL,NULL,NULL,NULL,117 hp,NULL,NULL,NULL
NULL,MG,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Maestro,NULL,NULL,Maestro,2.0 Turbo (152 Hp),NULL,NULL,NULL,NULL,NULL,152 hp,NULL,NULL,NULL
NULL,MG,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Metro,NULL,NULL,Metro,6R4 3.0 (253 Hp),NULL,NULL,NULL,NULL,NULL,253 hp,NULL,NULL,NULL
NULL,MG,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Metro,NULL,NULL,Metro,Turbo (94 Hp),NULL,NULL,NULL,NULL,NULL,94 hp,NULL,NULL,NULL
NULL,MG,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),MGB Cabrio,NULL,NULL,MGB,1.8 (92 Hp),NULL,NULL,NULL,NULL,NULL,92 hp,NULL,NULL,NULL
NULL,MG,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),MGB Cabrio,NULL,NULL,MGB,1.8 (95 Hp),NULL,NULL,NULL,NULL,NULL,95 hp,NULL,NULL,NULL
NULL,MG,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),MGB GT,NULL,NULL,MGB,1.8 (92 Hp),NULL,NULL,NULL,NULL,NULL,92 hp,NULL,NULL,NULL
NULL,MG,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),MGB GT,NULL,NULL,MGB,1.8 (95 Hp),NULL,NULL,NULL,NULL,NULL,95 hp,NULL,NULL,NULL
NULL,MG,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),MGB GT,NULL,NULL,MGB,3.5 (137 Hp),NULL,NULL,NULL,NULL,NULL,137 hp,NULL,NULL,NULL
yes,MG,10.5,Cabriolet,80 mm.,2,7.1 l/100 km.,50 l,Petrol (Gasoline),TF,1095 kg.,NULL,TF,1.6 i 16V (116 Hp),4,5,4,79 mm.,Inline,116 hp/6250 rpm.,2,145 Nm/4700 rpm.,2375 mm.
NULL,MG,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Montego,NULL,NULL,Montego,2.0 EFi (117 Hp),NULL,NULL,NULL,NULL,NULL,117 hp,NULL,NULL,NULL
NULL,MG,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Montego,NULL,NULL,Montego,2.0 Turbo (150 Hp),NULL,NULL,NULL,NULL,NULL,150 hp,NULL,NULL,NULL
yes,MG,10.5,Cabriolet,80 mm.,2,7.9 l/100 km.,50 l,Petrol (Gasoline),TF,1105 kg.,NULL,TF,1.8 i 16V (136 Hp),4,5,4,89.3 mm.,Inline,136 hp/6750 rpm.,2,165 Nm/5000 rpm.,2375 mm.
yes,MG,10.5,Cabriolet,80 mm.,2,7.5 l/100 km.,50 l,Petrol (Gasoline),TF,1115 kg.,NULL,TF,1.8 i 16V (160 Hp),4,5,4,89.3 mm.,Inline,160 hp/6900 rpm.,2,174 Nm/4700 rpm.,2375 mm.
yes,Maserati,7.4,Coupe,80 mm.,2,15 l/100 km.,90 l,Petrol (Gasoline),3200 GT,1590 kg.,NULL,3200 GT,3.2 Biturbo V8 32V (370 Hp),8,6,4,80 mm.,V engine,370 hp/6250 rpm.,2+2,491 Nm/4500 rpm.,2660 mm.
yes,MG,10,Coupe,90.2 mm.,2,NULL,80 l,Petrol (Gasoline),Xpower SV,1540 kg.,NULL,Xpower SV,4.6 i V8 32V (320 Hp),8,5,4,90 mm.,V engine,320 hp/6000 rpm.,2,410 Nm/4750 rpm.,2670 mm.
NULL,MG,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Xpower SV,NULL,NULL,Xpower SV,5.0 i V8 32V SV-R (400 Hp),NULL,NULL,NULL,NULL,NULL,400 hp,NULL,NULL,NULL
NULL,Maserati,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),420/430,NULL,NULL,420/430,420 (180 Hp),NULL,NULL,NULL,NULL,NULL,180 hp,NULL,NULL,NULL
NULL,Maserati,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),420/430,NULL,NULL,420/430,420 i (187 Hp),NULL,NULL,NULL,NULL,NULL,187 hp,NULL,NULL,NULL
NULL,Maserati,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),420/430,NULL,NULL,420/430,430 i (247 Hp),NULL,NULL,NULL,NULL,NULL,247 hp,NULL,NULL,NULL
yes,Maserati,NULL,Coupe,80 mm.,2,NULL,NULL,Petrol (Gasoline),Chubasco,1400 kg.,NULL,Chubasco,3.2 i V8 32V Turbo (430 Hp),8,5,4,80 mm.,V engine,430 hp/6500 rpm.,2,NULL,2650 mm.
yes,Maserati,11.1,Coupe,92 mm.,2,15.9 l/100 km.,88 l,Petrol (Gasoline),Coupe,1670 kg.,NULL,Coupe,4.2 i V8 32V (390 Hp),8,6,4,80 mm.,V engine,390 hp/7000 rpm.,2+2,451 Nm/4500 rpm.,2660 mm.
NULL,Mitsubishi,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Colt Lancer Station Wagon (A7_K),NULL,NULL,Colt Lancer,1.4 (68 Hp),NULL,NULL,NULL,NULL,NULL,68 hp,NULL,NULL,NULL
NULL,Mitsubishi,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Aspire (EAO),NULL,NULL,Aspire,LEGNUM (EAO) (280 Hp),NULL,NULL,NULL,NULL,NULL,280 hp,NULL,NULL,NULL
NULL,Mitsubishi,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Celeste (A7_),NULL,NULL,Celeste,1.6 ST (A73) (73 Hp),NULL,NULL,NULL,NULL,NULL,73 hp,NULL,NULL,NULL
NULL,Mitsubishi,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Celeste (A7_),NULL,NULL,Celeste,2.0 GSR (A78) (90 Hp),NULL,NULL,NULL,NULL,NULL,90 hp,NULL,NULL,NULL
NULL,Mitsubishi,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Celeste (A7_),NULL,NULL,Celeste,2.0 GSR (A78) (97 Hp),NULL,NULL,NULL,NULL,NULL,97 hp,NULL,NULL,NULL
NULL,Mitsubishi,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Celeste (A7_),NULL,NULL,Celeste,2.0 GSR (A78) (105 Hp),NULL,NULL,NULL,NULL,NULL,105 hp,NULL,NULL,NULL
NULL,Mitsubishi,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Carisma,NULL,NULL,Carisma,2.0 16V GT EVO VI (280 Hp),NULL,NULL,NULL,NULL,NULL,280 hp,NULL,NULL,NULL
NULL,Mitsubishi,9.5,Minivan,86.5 mm.,4,8.1 l/100 km.,60 l,Petrol (Gasoline),Chariot (E-N33W),1370 kg.,NULL,Chariot,2.4 i 16V Super MX (145 Hp),4,4,4,100 mm.,Inline,145 hp/5500 rpm.,7,206 Nm/2750 rpm.,2720 mm.
NULL,Mitsubishi,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Colt Lancer (A7_),NULL,NULL,Colt Lancer,1.2 (55 Hp),NULL,NULL,NULL,NULL,NULL,55 hp,NULL,NULL,NULL
NULL,Mitsubishi,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Colt Lancer (A7_),NULL,NULL,Colt Lancer,1.4 (68 Hp),NULL,NULL,NULL,NULL,NULL,68 hp,NULL,NULL,NULL
NULL,Mitsubishi,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Colt Lancer (A7_),NULL,NULL,Colt Lancer,1.6 (82 Hp),NULL,NULL,NULL,NULL,NULL,82 hp,NULL,NULL,NULL
NULL,Mitsubishi,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Cordia (A21_A),NULL,NULL,Cordia,1.6 Turbo (A212A) (116 Hp),NULL,NULL,NULL,NULL,NULL,116 hp,NULL,NULL,NULL
NULL,Mitsubishi,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Cordia (A21_A),NULL,NULL,Cordia,1.8 GSL (A215A) (90 Hp),NULL,NULL,NULL,NULL,NULL,90 hp,NULL,NULL,NULL
NULL,Mitsubishi,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Cordia (A21_A),NULL,NULL,Cordia,1.6 GSL (A212A) (75 Hp),NULL,NULL,NULL,NULL,NULL,75 hp,NULL,NULL,NULL
NULL,Mitsubishi,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Cordia (A21_A),NULL,NULL,Cordia,1.6 Turbo (A212A) (114 Hp),NULL,NULL,NULL,NULL,NULL,114 hp,NULL,NULL,NULL
NULL,Mitsubishi,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Cordia (A21_A),NULL,NULL,Cordia,1.8 Turbo ECi (A213A) (136 Hp),NULL,NULL,NULL,NULL,NULL,136 hp,NULL,NULL,NULL
yes,Volkswagen,NULL,Sedan,74.5 mm.,4,12.1 l/100 km.,45 l,Petrol (Gasoline),Ameo,1027-1050 kg.,NULL,Ameo,1.0 (76 Hp),3,5,4,76.5 mm.,Inline,76 hp/6200 rpm.,5,95 Nm/3000-4300 rpm.,2470 mm.
yes,Volkswagen,NULL,Sedan,76.5 mm.,4,13.2 l/100 km.,45 l,Petrol (Gasoline),Ameo,1044-1069 kg.,NULL,Ameo,1.2 (75 Hp),3,5,4,86.9 mm.,Inline,75 hp/5400 rpm.,5,110 Nm/3750 rpm.,2470 mm.
yes,Volkswagen,NULL,Sedan,77 mm.,4,10.9 l/100 km.,45 l,Diesel,Ameo,1138-1163 kg.,NULL,Ameo,1.5 TDI (110 Hp),4,5,4,80.5 mm.,Inline,110 hp/4000 rpm.,5,250 Nm/1500-3000 rpm.,2470 mm.
yes,Volkswagen,NULL,Sedan,77 mm.,4,10.8 l/100 km.,45 l,Diesel,Ameo,1174-1184 kg.,NULL,Ameo,1.5 TDI (110 Hp) DSG,4,7 DSG,4,80.5 mm.,Inline,110 hp/4000 rpm.,5,250 Nm/1500-3000 rpm.,2470 mm.
yes,Volkswagen,NULL,Hatchback,81 mm.,5,4.4-4.5 l/100 km.,66 l,Diesel,Arteon,2170 kg.,11.9 m,Arteon,2.0 TDI (150 Hp) DSG,4,7 DSG,4,95.5 mm.,Inline,150 hp/3500-4000 rpm.,5,340 Nm/1750-3000 rpm.,2837 mm.
yes,Volkswagen,NULL,Sedan,NULL,4,5.4 l/100 km.,50 l,Petrol (Gasoline),Bora III (facelift 2018),1315 kg.,10.6 m,Bora,1.4 280TSI (150 Hp) DSG,4,7 DSG,4,NULL,Inline,150 hp/5000-6000 rpm.,5,250 Nm/1750-3000 rpm.,2688 mm.
yes,Volkswagen,NULL,Sedan,NULL,4,5.5 l/100 km.,50 l,Petrol (Gasoline),Bora III (facelift 2018),1270 kg.,10.6 m,Bora,1.5 (116 Hp) Automatic,4,6,4,NULL,Inline,116 hp/6000 rpm.,5,150 Nm/4000 rpm.,2688 mm.
yes,Volkswagen,NULL,Sedan,NULL,4,5.5 l/100 km.,50 l,Petrol (Gasoline),Bora III (facelift 2018),1235 kg.,10.6 m,Bora,1.5 (116 Hp),4,5,4,NULL,Inline,116 hp/6000 rpm.,5,150 Nm/4000 rpm.,2688 mm.
yes,Volkswagen,9.6,Hatchback,82.5 mm.,5,7.3 l/100 km.,66 l,Petrol (Gasoline),Arteon,2240 kg.,11.9 m,Arteon,2.0 TSI (280 Hp) 4MOTION DSG,4,7 DSG,4,92.8 mm.,Inline,280 hp/5100-6500 rpm.,5,350 Nm/1700-5600 rpm.,2837 mm.
NULL,Volkswagen,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Derby (86C),NULL,NULL,Derby,1.0 (40 Hp),NULL,NULL,NULL,NULL,NULL,40 hp,NULL,NULL,NULL
NULL,Volkswagen,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Derby (86C),NULL,NULL,Derby,1.1 (50 Hp),NULL,NULL,NULL,NULL,NULL,50 hp,NULL,NULL,NULL
NULL,Volkswagen,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Derby (86C),NULL,NULL,Derby,1.3 (60 Hp),NULL,NULL,NULL,NULL,NULL,60 hp,NULL,NULL,NULL
NULL,Volkswagen,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Derby (86C),NULL,NULL,Derby,1.3 (75 Hp),NULL,NULL,NULL,NULL,NULL,75 hp,NULL,NULL,NULL
yes,Volkswagen,12.1,Hatchback,76.5 mm.,5,NULL,55 l,Petrol (Gasoline),Gol (G5) III (facelift 2013),961 kg.,10.8 m,Gol,1.6 Total Flex (101 Hp),4,5,2,86.9 mm.,Inline,101 hp/5250 rpm.,5,151 Nm/2500 rpm.,2465 mm.
yes,Volkswagen,12.1,Hatchback,76.5 mm.,5,NULL,55 l,Petrol (Gasoline),Gol (G5) III (facelift 2013),971 kg.,10.8 m,Gol,1.6 Total Flex (101 Hp) Automatic,4,5,2,86.9 mm.,Inline,101 hp/5250 rpm.,5,151 Nm/2500 rpm.,2465 mm.
yes,Volkswagen,12.1,Hatchback,76.5 mm.,5,NULL,55 l,Petrol / Ethanol - E85,Gol (G5) III (facelift 2013),971 kg.,10.8 m,Gol,1.6 Total Flex (103 Hp) Automatic,4,5,2,86.9 mm.,Inline,103 hp/5250 rpm.,5,153 Nm/2500 rpm.,2465 mm.
yes,Volkswagen,12.7,Hatchback,67.1 mm.,5,NULL,55 l,Petrol / Ethanol - E85,Gol (G5) III (facelift 2013),947 kg.,10.8 m,Gol,1.0 Total Flex (76 Hp),4,5,2,70.6 mm.,Inline,76 hp/5250 rpm.,5,104 Nm/3850 rpm.,2465 mm.
yes,Volkswagen,12.1,Hatchback,76.5 mm.,5,NULL,55 l,Petrol / Ethanol - E85,Gol (G5) III (facelift 2013),961 kg.,10.8 m,Gol,1.6 Total Flex (103 Hp),4,5,2,86.9 mm.,Inline,103 hp/5250 rpm.,5,153 Nm/2500 rpm.,2465 mm.
yes,Ferrari,11,Coupe,85 mm.,2,NULL,82 l,Petrol (Gasoline),F355 GTS,1450 kg.,NULL,F355,355 GTS (381 Hp),8,6,5,77 mm.,V engine,381 hp/8250 rpm.,2,363 Nm/6000 rpm.,2450 mm.
yes,Ferrari,11,Coupe,85 mm.,2,15.3 l/100 km.,82 l,Petrol (Gasoline),F355 Berlinetta,1450 kg.,NULL,F355,3.5 (381 Hp),8,6,5,77 mm.,V engine,381 hp/8250 rpm.,2,363 Nm/6000 rpm.,2450 mm.
yes,Ferrari,11,Cabriolet,85 mm.,2,NULL,82 l,Petrol (Gasoline),F355 Spider,1450 kg.,NULL,F355,F355 Spider (381 Hp),8,6,5,77 mm.,V engine,381 hp/8250 rpm.,2,363 Nm/6000 rpm.,2450 mm.
NULL,Lancia,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Thema (834),NULL,NULL,Thema,3000 V6 (171 Hp),NULL,NULL,NULL,NULL,NULL,171 hp,NULL,NULL,NULL
yes,Dodge,9.3,Pick-up,93 mm.,4,NULL,83 l,Petrol (Gasoline),Dakota III (facelift 2007),NULL,NULL,Dakota,4.7 V8 (238 Hp) 4x4,8,6,2,86.5 mm.,V engine,238 hp/4800 rpm.,5,400 Nm/3200 rpm.,3335 mm.
yes,Dodge,9.3,Pick-up,93 mm.,4,11.5 l/100 km.,83 l,Petrol (Gasoline),Dakota III (facelift 2007),3200 kg.,NULL,Dakota,4.7 V8 (238 Hp),8,6,2,86.5 mm.,V engine,238 hp/4800 rpm.,5,400 Nm/3200 rpm.,3335 mm.
yes,Citroen,NULL,Hatchback,NULL,5,NULL,NULL,Electricity,C-Zero,1065 kg.,9 m,C-Zero,14.5 kWh (67 Hp) CVT,NULL,CVT,NULL,NULL,NULL,67 hp/3000-8800 rpm.,4,NULL,2550 mm.
yes,Citroen,NULL,Hatchback,NULL,5,NULL,NULL,Electricity,C-Zero,1120 kg.,9 m,C-Zero,16 kWh (67 Hp) Automatic,NULL,1,NULL,NULL,NULL,67 hp/3000-6000 rpm.,4,NULL,2550 mm.
yes,Citroen,16.6,SUV,85 mm.,5,7.9 l/100 km.,60 l,Diesel,C-Crosser,1790-1825 kg.,12 m,C-Crosser,2.2 HDi (156 Hp),4,6,4,96 mm.,Inline,156 hp/4000 rpm.,5/7,380 Nm/2000 rpm.,2670 mm.
yes,Citroen,16,Sedan,75 mm.,4,4.3 l/100 km.,NULL,Diesel,"C-Elysee II (Phase I, 2012)",1090 kg.,10.7 m,C-Elysee,1.6 HDi (92 Hp),4,5,2,88.3 mm.,Inline,92 hp/4000 rpm.,5,230 Nm/1750 rpm.,2652 mm.
yes,Dodge,9.3,Pick-up,93 mm.,4,NULL,83 l,Petrol (Gasoline),Dakota III (facelift 2007),NULL,NULL,Dakota,4.7 V8 (238 Hp) 4x4 Automatic,8,5,2,86.5 mm.,V engine,238 hp/4800 rpm.,5,400 Nm/3200 rpm.,3335 mm.
NULL,Citroen,7.5,Sedan,66 mm.,4,NULL,20 l,Petrol (Gasoline),2 CV,525 kg.,10.7 m,2 CV,0.4 (16 Hp),2,4,2,62 mm.,Boxer,16 hp/5000 rpm.,4,25 Nm/3500 rpm.,2400 mm.
NULL,Citroen,8.5,Sedan,68.5 mm.,4,NULL,20 l,Petrol (Gasoline),2 CV,560 kg.,11.2 m,2 CV,0.4 (23 Hp),2,4,2,59 mm.,Boxer,23 hp/6750 rpm.,5,28 Nm/4000 rpm.,2400 mm.
NULL,Citroen,8.5,Sedan,68.5 mm.,4,NULL,20 l,Petrol (Gasoline),2 CV,560 kg.,11.2 m,2 CV,0.4 (24 Hp),2,4,2,59 mm.,Boxer,24 hp/6750 rpm.,5,28 Nm/4000 rpm.,2400 mm.
NULL,Citroen,8.5,Sedan,74 mm.,4,NULL,20 l,Petrol (Gasoline),2 CV,560 kg.,11.2 m,2 CV,0.6 (28 Hp),2,4,2,70 mm.,Boxer,28 hp/7000 rpm.,5,39 Nm/3500 rpm.,2400 mm.
yes,Dodge,9.3,Pick-up,93 mm.,4,NULL,83 l,Petrol (Gasoline),Dakota III (facelift 2007),NULL,NULL,Dakota,4.7 V8 (238 Hp) Automatic,8,5,2,86.5 mm.,V engine,238 hp/4800 rpm.,5,400 Nm/3200 rpm.,3335 mm.
NULL,Lada,NULL,Sedan,NULL,4,NULL,43 l,Petrol (Gasoline),2115-40,985 kg.,NULL,2115,1.6 (80 Hp),4,5,2,NULL,Inline,80 hp/5200 rpm.,5,120 Nm/2700 rpm.,2460 mm.
NULL,Citroen,8.5,Sedan,74 mm.,4,NULL,20 l,Petrol (Gasoline),2 CV,560 kg.,11.2 m,2 CV,0.6 (29 Hp) 4x4,2,4,2,70 mm.,Boxer,29 hp/5750 rpm.,5,39 Nm/3500 rpm.,2400 mm.
NULL,Lada,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),21312,NULL,NULL,2131,1.8 (82 Hp),NULL,NULL,NULL,NULL,NULL,82 hp,NULL,NULL,NULL
NULL,Lada,8.5,NULL,76 mm.,NULL,NULL,NULL,Petrol (Gasoline),21047,NULL,NULL,2104,1.5 (71 Hp),4,NULL,2,80 mm.,Inline,71 hp/5600 rpm.,NULL,104 Nm/3400 rpm.,NULL
NULL,Lada,NULL,Combi,NULL,5,NULL,42 l,Petrol (Gasoline),21041,1020 kg.,NULL,2104,1.2 (58 Hp),4,5,2,NULL,Inline,58 hp/5600 rpm.,5,84 Nm/3400 rpm.,2424 mm.
NULL,Lada,NULL,Combi,NULL,5,9.2 l/100 km.,42 l,Petrol (Gasoline),21041,1020 kg.,NULL,2104,1.6 (74 Hp),4,5,2,NULL,Inline,74 hp/5600 rpm.,5,103 Nm/3400 rpm.,2424 mm.
NULL,Lancia,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Thema (834),NULL,NULL,Thema,8.32 (205 Hp),NULL,NULL,NULL,NULL,NULL,205 hp,NULL,NULL,NULL
yes,Lancia,18.45,Sedan,82 mm.,4,NULL,70 l,Diesel,Kappa (838),1510 kg.,NULL,Kappa,2.4 JTD (136 Hp),5,5,2,90.4 mm.,Inline,136 hp/4000 rpm.,5,304 Nm/2000 rpm.,2700 mm.
NULL,Citroen,8.75,Sedan,93.5 mm.,4,NULL,65 l,Petrol (Gasoline),DS III,1340 kg.,11 m,DS,23 Injection (130 Hp),4,4,2,85.5 mm.,Inline,130 hp/5250 rpm.,5,195 Nm/2500 rpm.,3125 mm.
NULL,Citroen,8.75,Sedan,93.5 mm.,4,NULL,65 l,Petrol (Gasoline),DS III,1340 kg.,11 m,DS,23 (115 Hp) Automatic,4,3,2,85.5 mm.,Inline,115 hp/5500 rpm.,5,183 Nm/3500 rpm.,3125 mm.
yes,Citroen,NULL,"Minivan, MPV",NULL,5,4.7-4.8 l/100 km.,55 l,Diesel,C4 Grand SpaceTourer,2290 kg.,NULL,C4,2.0 BlueHDi (163 Hp) Automatic,4,8,4,NULL,Inline,163 hp/3750 rpm.,7,400 Nm/2000 rpm.,2840 mm.
yes,Citroen,NULL,SUV,NULL,5,4.7-4.9 l/100 km.,53 l,Diesel,C5 Aircross,2110 kg.,10.7 m,C5,2.0 BlueHDi (178 Hp) Automatic S&S,4,8,4,NULL,Inline,178 hp/3750 rpm.,5,400 Nm/2000 rpm.,2730 mm.
yes,Citroen,NULL,SUV,75 mm.,5,4.0-4.1 l/100 km.,53 l,Diesel,C5 Aircross,2020 kg.,10.7 m,C5,1.5 BlueHDi (131 Hp) Automatic S&S,4,8,4,84.8 mm.,Inline,131 hp/3750 rpm.,5,300 Nm/1750 rpm.,2730 mm.
NULL,Citroen,9,Hatchback,74 mm.,3,NULL,42 l,Petrol (Gasoline),Axel,860 kg.,NULL,Axel,11R 1.1 (57 Hp),4,4,2,65.6 mm.,Boxer,57 hp/6250 rpm.,4,79 Nm/3500 rpm.,2370 mm.
yes,Citroen,NULL,SUV,75 mm.,5,4.1-4.2 l/100 km.,53 l,Diesel,C5 Aircross,2000 kg.,10.7 m,C5,1.5 BlueHDi (131 Hp) S&S,4,6,4,84.8 mm.,Inline,131 hp/3750 rpm.,5,300 Nm/1750 rpm.,2730 mm.
NULL,Citroen,8.5,Pick-up,74 mm.,3,NULL,25 l,Petrol (Gasoline),Acadiane,680 kg.,11.2 m,Acadiane,0.6 (31 Hp),2,4,2,70 mm.,Boxer,31 hp/5750 rpm.,2,41 Nm/3500 rpm.,2535 mm.
NULL,Citroen,8.7,Hatchback,79.4 mm.,3,NULL,42 l,Petrol (Gasoline),Axel,875 kg.,NULL,Axel,12 TRS 1.3 (61 Hp),4,5,2,65.6 mm.,Boxer,61 hp/5500 rpm.,4,96 Nm/3250 rpm.,2370 mm.
NULL,Citroen,9,Sedan,74 mm.,4,NULL,25 l,Petrol (Gasoline),AMI 6,630 kg.,11.4 m,AMI,0.6 (35 Hp),2,4,2,70 mm.,Boxer,35 hp/5750 rpm.,4,46 Nm/4750 rpm.,2400 mm.
NULL,Citroen,9,Sedan,74 mm.,4,NULL,32 l,Petrol (Gasoline),AMI 8,730 kg.,11.4 m,AMI,0.6 (35 Hp),2,4,2,70 mm.,Boxer,35 hp/5750 rpm.,4,46 Nm/4750 rpm.,2400 mm.
NULL,Citroen,9,Sedan,74 mm.,4,NULL,40 l,Petrol (Gasoline),Ami 10,805 kg.,11.1 m,AMI,1.0 Super (54 Hp),4,4,2,59 mm.,Boxer,54 hp/6500 rpm.,4,68 Nm/3500 rpm.,2400 mm.
