abs,brand,compression_ratio,coupe_type,cylinder_bore,doors,fuel_consumption_combined,fuel_tank_volume,fuel_type,generation,kerb_weight,minimum_turning_circle,model,modification,number_of_cylinders,number_of_gears,number_of_valves_per_cylinder,piston_stroke,position_of_cylinders,power,seats,torque,wheelbase
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),140 Combi (145),NULL,NULL,140,2.0 S (82 Hp),NULL,NULL,NULL,NULL,NULL,82 hp,NULL,NULL,NULL
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),140 Combi (145),NULL,NULL,140,2.0 S (100 Hp),NULL,NULL,NULL,NULL,NULL,100 hp,NULL,NULL,NULL
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),140 Combi (145),NULL,NULL,140,2.0 S (101 Hp),NULL,NULL,NULL,NULL,NULL,101 hp,NULL,NULL,NULL
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),140 Combi (145),NULL,NULL,140,2.0 S (124 Hp),NULL,NULL,NULL,NULL,NULL,124 hp,NULL,NULL,NULL
yes,Jaguar,NULL,Coupe,NULL,2,12.3 l/100 km.,71 l,Petrol (Gasoline),XKR Coupe II,1753 kg.,NULL,XKR,5.0 V8 (510 Hp) Automatic,8,6,4,NULL,V engine,510 hp/6000 rpm.,4,625 Nm/2500 rpm.,2752 mm.
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),140 Combi (145),NULL,NULL,140,2.0 S (116 Hp),NULL,NULL,NULL,NULL,NULL,116 hp,NULL,NULL,NULL
yes,Ford,12,SUV,NULL,5,NULL,52 l,Petrol (Gasoline),EcoSport II (facelift 2017),1510 kg.,NULL,EcoSport,2.0 Ti-VCT (166 Hp) AWD Automatic,4,6,4,NULL,Inline,166 hp/6500 rpm.,5,203 Nm/4500 rpm.,2519 mm.
yes,Ford,10,SUV,71.9 mm.,5,5.8 l/100 km.,52 l,Petrol (Gasoline),EcoSport II (facelift 2017),1775 kg.,10.6 m,EcoSport,1.0 EcoBoost (125 Hp) Automatic,3,6,4,82 mm.,Inline,125 hp/6000 rpm.,5,170 Nm/1400 - 4500 rpm.,2519 mm.
yes,Ford,10,SUV,71.9 mm.,5,5.2 l/100 km.,52 l,Petrol (Gasoline),EcoSport II (facelift 2017),1730 kg.,10.6 m,EcoSport,1.0 EcoBoost (125 Hp),3,6,4,82 mm.,Inline,125 hp/6000 rpm.,5,170 Nm/1400 - 4500 rpm.,2519 mm.
yes,Ford,10,SUV,71.9 mm.,5,5.2 l/100 km.,52 l,Petrol (Gasoline),EcoSport II (facelift 2017),1730 kg.,10.6 m,EcoSport,1.0 EcoBoost (140 Hp),3,6,4,82 mm.,Inline,140 hp/6300 rpm.,5,180 Nm/1500-5000 rpm.,2519 mm.
yes,Ford,10,Off-road vehicle,NULL,5,12.3 l/100 km.,107 l,Petrol (Gasoline),Expedition IV MAX (U553),2515 kg.,NULL,Expedition,3.5 EcoBoost V6 (375 Hp) Automatic,6,10 SelectShift,4,NULL,V engine,375 hp/5000 rpm.,8,637 Nm/2250 rpm.,3343 mm.
yes,Ford,16,SUV,73.5 mm.,5,4.1 l/100 km.,52 l,Diesel,EcoSport II (facelift 2017),1735 kg.,10.6 m,EcoSport,1.5 TDCi (100 Hp),4,6,2,88.3 mm.,Inline,100 hp/3750 rpm.,5,215 Nm/1750 - 3000 rpm.,2519 mm.
yes,Great Wall,NULL,Sedan,NULL,4,7.1 l/100 km.,40 l,Petrol (Gasoline),Voleex C30,NULL,10.5 m,Voleex,1.5 (97 Hp),4,5,NULL,NULL,Inline,97 hp,5,138 Nm,2610 mm.
yes,Great Wall,NULL,Crossover,NULL,5,7.3 l/100 km.,40 l,Petrol (Gasoline),Voleex C20R,NULL,10.2 m,Voleex,1.5 (97 Hp),4,NULL,NULL,NULL,Inline,97 hp,5,138 Nm,2460 mm.
